name,line,lat,lon,type
"Ц-14 (Магазин ""Pinokkio"")",,41.3260599,69.251929,bus
"Ц-14 (""Ганга"")",,41.3279316,69.2485887,bus
,,41.3272292,69.2512534,bus
,,41.3244038,69.2556341,bus
,,41.3239341,69.2603491,bus
,,41.3293634,69.2492112,bus
Торговый комплекс,,41.364062,69.2140712,bus
Toʻqimachilik kombinati,,41.274167,69.2451634,bus
Qushbegi dahasi,,41.2670576,69.246229,bus
"Махалля ""Дилбулак""",,41.2686936,69.2459618,bus
,,41.2894659,69.2811151,bus
Toshkent metro bekati,,41.2929342,69.2879876,bus
Turkiston metro bekati,,41.3754365,69.296382,bus
,,41.3367783,69.3231443,bus
,,41.3374617,69.3305603,bus
,,41.3366079,69.3241338,bus
,,41.3374751,69.329451,bus
,,41.357221,69.1767536,bus
,,41.3354075,69.174431,bus
Sag'bon ko'chasi,,41.3408828,69.2302591,bus
2-sonli poliklinika,,41.2533558,69.3128273,bus
2-sonli poliklinika,,41.2534313,69.3125547,bus
,,41.3423224,69.2862315,bus
,,41.3427099,69.2860853,bus
,,41.3581694,69.2264355,bus
,,41.3580205,69.2257766,bus
Сагбан,,41.3485661,69.22755,bus
Аптека,,41.3603344,69.214952,bus
Торговый комплекс,,41.3643868,69.2148433,bus
Shirin ko'chasi,,41.2845914,69.1707153,bus
ГСКБ,,41.3548577,69.2264855,bus
Талабалар бекати,,41.3517397,69.2112705,bus
,,41.3517891,69.2119779,bus
Глазная больница,,41.356031,69.2182221,bus
Аптека,,41.359706,69.2146099,bus
ГСКБ,,41.3552891,69.2273841,bus
,,41.3585164,69.2057165,bus
АЗС,,41.3575548,69.2058705,bus
,,41.3548467,69.2090758,bus
Госпиталь МВД,,41.3600329,69.2043434,bus
Госпиталь МВД,,41.3611688,69.2038565,bus
Фергана кафе,,41.363599,69.2038576,bus
Фергана кафе,,41.3639929,69.2047931,bus
Госпиталь СНБ,,41.3640768,69.208972,bus
Госпиталь СГБ,,41.3639748,69.2096201,bus
Абдулла Набиев,,41.3497101,69.2273916,bus
Фарфоровый завод,,41.3436221,69.2297353,bus
Фарфоровый завод,,41.3442153,69.2295227,bus
Нукус кинотеатр,,41.3497352,69.2181566,bus
,,41.347137,69.2154504,bus
,,41.3490306,69.2146065,bus
,,41.3478188,69.2163709,bus
Beruniy maydoni,,41.33966,69.2079144,bus
Beruniy maydoni,,41.3385863,69.2064845,bus
Beruniy maydoni,,41.3394896,69.2066163,bus
Центр стандартов,,41.3426904,69.2110882,bus
Eski Juva bozori,,41.3299364,69.234137,bus
Eski Juva maydoni,,41.3302049,69.2349064,bus
Chorsu bozori,,41.3246577,69.2324409,bus
Абдулла Набиев,,41.3502965,69.2279718,bus
,,41.3613446,69.2305296,bus
Eski Juva maydoni,,41.3290911,69.2373748,bus
,,41.3615081,69.2306061,bus
Магазин,,41.3616599,69.2377019,bus
Магазин,,41.3619297,69.2377545,bus
П.О. Оникс,,41.3563022,69.2473341,bus
,,41.3557379,69.2388852,bus
,,41.3560201,69.2392892,bus
,,41.3569204,69.2432094,bus
Qorasaroy,,41.3486095,69.2405986,bus
Северный Алмазар,,41.3481735,69.2514445,bus
Олмазор молия,,41.3504618,69.2520042,bus
,,41.3509688,69.252669,bus
Мечеит,,41.3315337,69.2428517,bus
Родильный дом №2,,41.3476893,69.2414321,bus
"Монумент ""Мужества""",,41.3234448,69.2730473,bus
Dunyo supermarketi,,41.3144963,69.2875554,bus
Dunyo supermarketi,,41.314591,69.2874911,bus
,,41.3221959,69.2736248,bus
,,41.3281069,69.2742127,bus
,,41.3284873,69.2752679,bus
,,41.3290316,69.2747604,bus
Инфекционная больница,,41.3444861,69.2623108,bus
Инфекционная больница,,41.3454913,69.2609894,bus
ШПО Малика,,41.3405454,69.2694229,bus
Санаторий Семашко,,41.3357488,69.2780178,bus
,,41.3503125,69.3342219,bus
Yunusobod dehqon bozori,,41.3632326,69.288145,bus
Universam,,41.3649697,69.2872361,bus
площадь Пушкина,,41.2848689,69.2528719,bus
Janubiy vokzal,,41.2591999,69.224524,bus
Janubiy vokzal,,41.2592912,69.2244457,bus
Janubiy vokzal,,41.2591212,69.2246027,bus
,,41.2261826,69.2050264,bus
,,41.2996833,69.2818948,bus
,,41.3357536,69.1744844,bus
San'at muzeyi,,41.3032499,69.279912,bus
Tinchlik metrosi,,41.3330636,69.2187258,bus
,,41.3510383,69.2426361,bus
